字詞		中文釋義		考題
but		[副詞] 只,僅僅,才;絕對地; [介系詞] 除...以外; [連接詞] 但是		287
butter		[動詞] 塗奶油於;以花言巧語討好; [名詞] 奶油		2
butterfly		[名詞] 蝴蝶		6
button		[動詞] 扣鈕扣; [名詞] 鈕扣		
buy		[動詞] 買; [名詞] 購買;（買賣）合算		93
by		[副詞] 經過;過去;在旁邊; [介系詞] 經由		111
bye		[感歎詞] 再見;再會; [名詞] 次要的東西;(體育比賽中)輪空		1
cake		[名詞] 蛋糕		15
call		[動詞] 喊;打電話;稱呼; [名詞] 呼叫;請求;通話;(紙牌)叫牌;判決		63
camera		[名詞] 照相機		2
camp		[動詞] 露營; [名詞] 營地		6
can		[動詞] 將（食物、飲料）裝罐; [助動詞] 能,會;可能;可以;必須; [名詞] 罐頭		279
candle		[名詞] 蠟燭		4
candy		[名詞] 糖果		6
can't		[縮短形] cannot (can 的反義)		51
cap		[動詞] 給...戴帽;加蓋於; [名詞] 無邊便帽;蓋子		5
car		[名詞] 汽車		32
card		[名詞] 卡片		22
care		[動詞] 關心;照顧; [名詞] 看護;保護;照料;管理;關懷;小心		33
careful		[形容詞] 小心的		26
carry		[動詞] 提;搬運		12
case		[動詞] 把...裝入箱(或容器)中; [名詞] 盒子;案件		2
castle		[名詞] 城堡		2
cat		[名詞] 貓		13
catch		[動詞] 接(球);捕獲; [名詞] 抓住,捕捉;接球;把手;圈套		19
celebrate		[動詞] 慶祝		19
cellphone		[名詞] 手機,大哥大		5
cent		[名詞] 分(錢幣)		1
center		[動詞] 集中;居中; [名詞] 中心(點)		14
centimeter		[名詞] 公分		
chair		[動詞] 主持(會議);任(會議的)主席; [名詞] 椅子		5
chalk		[動詞] 使變白;畫出...的草圖;規劃;記下; [名詞] 粉筆		
chance		[動詞] 冒...的險;賭(錢); 碰巧; [名詞] 機會		24
change		[動詞] 改變;更改; [名詞] 零錢		49
cheap		[形容詞] 便宜的; [副詞] 便宜地;卑鄙地		9
cheat		[動詞] 欺騙;作弊; [名詞] 騙子;欺詐,欺騙,作弊		3
check		[動詞] 檢查; [名詞] 支票;買單		19
cheer		[動詞] 向...歡呼; [名詞] 喝采;鼓勵		5
cheese		[名詞] 起司;乳酪		5
chicken		[名詞] 雞;雞肉		10
child		[名詞] 小孩		47
China		[名詞] 中國		2
Chinese		[形容詞] 中國的;中國人的; [名詞] 中文;中國人		14
chocolate		[名詞] 巧克力		8
choice		[形容詞] 上等的,精選的;挑三揀四的; [名詞] 選擇		2
choose		[動詞] 選擇;挑選		9
chopsticks		[名詞] 筷子		2
Christmas		[名詞] 耶誕節		13
church		[名詞] 教堂		11
circle		[動詞] 畫圓圈;圈出;盤旋;流傳; [名詞] 圓圈;集團		5
city		[名詞] 都市		49
clap		[動詞] 拍(手);鼓(掌); [名詞] 拍手喝采(聲);霹靂聲;輕拍		
class		[動詞] 把...分類;把...分等級; [名詞] 階級;班級;上課		52
classmate		[名詞] 同班同學		21
classroom		[名詞] 教室		11
clean		[形容詞] 乾淨的; [動詞] 打掃; [副詞] 完全地,全然地;乾淨地; [名詞] 打掃;去垢		24
clear		[形容詞] 清楚的;晴朗的; [動詞] 使乾淨;收拾;交換票據; [副詞] 清晰地,明瞭地		23
clerk		[名詞] 店員;辦事員;職員		6
climb		[動詞] 爬;攀登; [名詞] 攀登,攀爬		7
clock		[名詞] 鐘		3
close		[形容詞] 近的;密切的; [動詞] 關上; [副詞] 接近,靠近地;緊密地,緊緊地; [名詞] 結束,終止;(金融)收盤價		19
cloud		[動詞] 陰雲密佈;變暗;變模糊;變混濁; [名詞] 雲		2
cloudy		[形容詞] 多雲的;陰天的		5
club		[動詞] 募集;捐獻;集資;聯合起來; [名詞] 俱樂部;夜總會;社團		9
coat		[動詞] 塗在...上;給...穿上外套; [名詞] 外套		2
coffee		[名詞] 咖啡		24
cold		[形容詞] 寒冷的; [名詞] 感冒		23
collect		[動詞] 收集		21
color		[動詞] 著色;渲染;文飾;歪曲;影響; [名詞] 顏色		18
comb		[動詞] 用梳子梳理; [名詞] 梳子		1
come		[動詞] 到來		126
comfortable		[形容詞] 舒適的		19
comic		[形容詞] 滑稽的；有趣的; [名詞] 漫畫雜誌；喜劇演員		7
common		[形容詞] 常見的;尋常的;普遍的; [名詞] 有相同（興趣、經歷）; 公共用地,公有地		8
computer		[名詞] 電腦		30
convenient		[形容詞] 方便的		14
cook		[動詞] 煮; [名詞] 廚師		18
cookie		[名詞] 餅乾		2
cool		[形容詞] 涼快的;很棒的;酷; [動詞] 使涼快;使冷卻; [名詞] 涼爽		15
copy		[動詞] 拷貝;抄襲; [名詞] 拷貝;副本		10
corner		[名詞] 角落		10
correct		[形容詞] 正確的; [動詞] 改正;糾正		5
cost		[動詞] 花費; [名詞] 費用;成本		13
couch		[動詞] 使躺下;表達;蹲著;埋伏; [名詞] 長沙發		2
couldn't		[縮短形] could not		20
count		[動詞] 計算;數; [名詞] 計數;計算		7
country		[名詞] 國家;鄉下		39
course		[動詞] 奔流；奔湧；(用獵犬)追獵;追逐; [名詞] 課程;科目		15
cousin		[名詞] 表(堂)兄弟姊妹		9
cover		[動詞] 蓋住; [名詞] 封面		10
cow		[名詞] 母牛		4
crazy		[形容詞] 古怪的;著迷的		16
cross		[動詞] 越過;渡過; [名詞] 十字架		9
cry		[動詞] 哭叫; [名詞] 叫喊;呼叫;(一陣)哭		19
cup		[動詞] 使(手掌)成杯狀;把...放入杯內; [名詞] 杯子		12
cut		[動詞] 切割;剪; [名詞] 傷口;刻痕;削減;近路;曠課		11
cute		[形容詞] 可愛的		8
dad		[名詞] 父親		44
daddy		[名詞] 父親		4
dance		[動詞] 跳舞; [名詞] 舞會		23
dangerous		[形容詞] 危險的		19
dark		[形容詞] 黑暗的; [名詞] 黑暗,暗處;曖昧;隱晦		16
date		[動詞] 約會; [名詞] 日期		15
daughter		[名詞] 女兒		20
day		[名詞] 白天;日		174
dead		[形容詞] 死的		13
deal		[動詞] 處理;對付;對待[(+with)]; [名詞] 交易		8
dear		[形容詞] 親愛的; [副詞] 疼愛地;高價地,昂貴地; [感歎詞] 哎呀; [名詞] (常作稱呼)親愛的(人)		39
death		[名詞] 死亡		3
December		[名詞] 十二月		4
decide		[動詞] 決定		40
deep		[形容詞] 深的; [副詞] 深深地		1
define		[動詞] 解釋,給...下定義		
delicious		[形容詞] 好吃的		23
dentist		[名詞] 牙醫		1
department store		[名詞] 百貨公司		10
desk		[名詞] 書桌		9
dictionary		[名詞] 字典		7
didn't		[縮短形] did not		48
die		[動詞] 死; [名詞] 骰子		23
different		[形容詞] 不同的		63
difficult		[形容詞] 困難的		20
dig		[動詞] 挖掘; [名詞] 刺,戳,碰;挖苦		4
dining room		[名詞] 飯廳		1
dinner		[名詞] 晚餐		35
dirty		[形容詞] 骯髒的; [動詞] 弄髒; 變髒		12
dish		[動詞] 盛...於盤中; [名詞] 盤子;一盤菜		12
do		[動詞] 做; [助動詞] 構成否定句,疑問句,或強調句		364
doctor		[名詞] 醫生		23
doesn't		[縮短形] does not		29
dog		[名詞] 狗		30
doll		[名詞] 洋娃娃		8
dollar		[名詞] 美元		7
don't		[縮短形] do not		115
door		[名詞] 門		16
dot		[動詞] 點綴; 打點,加點; [名詞] 點;小圓點		1
down		[形容詞] 情緒低落,消沈;(分期付款的)第一期的; [動詞] 擊倒; [副詞] 向下;下降;(境況)變差;減少,減弱; [介系詞] 向下; [名詞] 下降;蕭條;絨毛;有草丘陵地		39
download		[動詞] （尤指從網際網路）下載; [名詞] 下載,下載資訊		
dozen		[名詞] 一打		1
Dr.		[縮寫] 醫生		4
draw		[動詞] 畫;繪製;描寫; [名詞] 平局;平手		18
drawer		[名詞] 抽屜		3
dream		[動詞] 做(夢);想像; [名詞] 夢		24
dress		[動詞] 穿著; [名詞] 洋裝		12
drink		[動詞] 喝; [名詞] 飲料		33
drive		[動詞] 開車; [名詞] 兜風;車程;幹勁;比賽		20
driver		[名詞] 司機		12
drop		[動詞] (使)滴落;丟下; [名詞] (一)滴;點滴;空投;點藥水		13
drum		[動詞] 打鼓;咚咚地敲; [名詞] 鼓		
dry		[形容詞] 乾的; [動詞] 曬乾;風乾		8
duck		[動詞] 躲避;迴避; [名詞] 鴨		1
during		[介系詞] 在…期間		42
each		[形容詞] 每個; [副詞] 各個(地);各自(地);每一個; [代名詞] 各個		48
ear		[名詞] 耳朵		5
early		[形容詞] 早的;提早的; [副詞] 早;提早		30
earth		[名詞] 地球;土地		5
earthquake		[名詞] 地震		1
east		[形容詞] 東方的; [副詞] 向東方; [名詞] 東方		5
Easter		[名詞] 復活節		
easy		[形容詞] 容易的		44
eat		[動詞] 吃		52
egg		[名詞] 蛋		5
eight		[形容詞] 八的; [名詞] 八		7
eighteen		[形容詞] 十八的; [名詞] 十八		2
eighty		[形容詞] 八十的; [名詞] 八十		
either		[形容詞] 兩者之一; [副詞] 也; [連接詞] 或者(和or連用); [代名詞] (兩者之中)任何一個		10
elementary school		[名詞] 小學		7
elephant		[名詞] 大象		2
eleven		[形容詞] 十一的; [名詞] 十一		4
else		[形容詞] 其他的; [副詞] 其他,另外;否則,要不然		13
e-mail		[動詞] 傳送電子郵件; [名詞] 電子郵件		6
end		[動詞] 結束; [名詞] 盡頭;結局		31
engineer		[名詞] 工程師		1
English		[形容詞] 英格蘭的;英國的;英國人的;英語的; [名詞] 英語		33
enjoy		[動詞] 喜歡;享受		87
enough		[形容詞] 足夠的; [副詞] 足夠地;充分地;很,十分; [名詞] 足夠,充分; [代名詞] 足夠的數量		42
enter		[動詞] 輸入;進入		14
envelope		[名詞] 信封		4
eraser		[名詞] 橡皮擦		4
error		[名詞] 錯誤		
eve		[名詞] 前夕		4
even		[形容詞] 均勻的;偶數的;平手的; [動詞] 使平坦;弄平;使相等; [副詞] 即使		93
ever		[副詞] 從來;曾經		23
every		[形容詞] 每一個的		97
everybody		[代名詞] 每個人		5
everyone		[代名詞] 每個人		35
everything		[代名詞] 每樣事物;重於一切		24
example		[名詞] 例子		36
excellent		[形容詞] 非常好的		5
except		[動詞] 把...除外;反對; [介系詞] 除…之外; [連接詞] 除了;要不是;但是		11
excited		[形容詞] 感到興奮的		17
exciting		[形容詞] 令人興奮的		17
excuse		[動詞] 原諒;借光; [名詞] 藉口		16
exercise		[動詞] 鍛鍊;操練;練習;運用,行使; [名詞] 運動;習題		19
expect		[動詞] 期待		2
expensive		[形容詞] 貴的		13
experience		[動詞] 經歷;感受到; [名詞] 經驗		35
explain		[動詞] 解釋		3
eye		[動詞] 看;注視;審視; [名詞] 眼睛		23
face		[動詞] 面向;正對;正視;朝;向; [名詞] 臉		24
fact		[名詞] 事實		33
factory		[名詞] 工廠		12
fail		[動詞] 失敗;不及格; [名詞] 不及格		6
fall		[動詞] 掉下; [名詞] 秋天;秋季		25
family		[名詞] 家庭		70
famous		[形容詞] 著名的		40
fan		[動詞] 扇;煽動;激起; [名詞] 電風扇;迷友;熱烈崇拜者		22
far		[形容詞] 遠的; [副詞] 遠;遙遠地;久遠地		12
farm		[動詞] 耕作;養殖;經營農場;從事畜牧業; [名詞] 農場		18
farmer		[名詞] 農夫		9
fast		[形容詞] 快的; [副詞] 快,迅速;緊緊地,牢固地;接近著		22
fat		[形容詞] 胖的; [名詞] (動,植物)脂肪;油脂		3
father		[動詞] 做...的父親; 創始;創立; [名詞] 父親		25
favorite		[形容詞] 最喜愛的; [名詞] 特別喜愛的人(或物)		27
February		[名詞] 二月		5
feed		[動詞] 吃;餵養; [名詞] (動物或嬰兒的)一餐;飼料		4
feel		[動詞] 感覺; [名詞] 觸覺;手感;觸,摸;感覺,氣氛		79
festival		[名詞] 節日		10
fever		[名詞] 發燒		
few		[形容詞] 少數的;一些; [代名詞] (與a或the連用)一些		38
fifteen		[形容詞] 十五的; [名詞] 十五		4
fifty		[形容詞] 五十的; [名詞] 五十		3
fight		[動詞] 打架;作戰; [名詞] 打架;戰鬥		12
file		[動詞] 把...歸檔; [名詞] 檔案,案卷		
fill		[動詞] 充滿;填充; [名詞] 填滿的量;裝填物		8
find		[動詞] 找到; [名詞] 發現;發現物		88
fine		[形容詞] 好的; [動詞] 使純;澄清;使精細; [副詞] 細微地;精巧地;很好地;妙; [名詞] 好天氣; 罰金,罰款		10
finger		[動詞] 撥弄;指出;告密;告發; [名詞] 手指		2
finish		[動詞] 完成; [名詞] 結束;(傢具等)末道漆		22
fire		[動詞] 解雇,開除;點燃; 開火;射擊; [名詞] 火		9
first		[形容詞] 第一的; [副詞] 先,首先;第一;首次; [名詞] 第一;第一個;第一名;優等;開始;開始時間		91
fish		[動詞] 釣魚; [名詞] 魚		31
fisherman		[名詞] 漁夫		1
five		[形容詞] 五的; [名詞] 五		39
fix		[動詞] 修理; [名詞] 困境;窘境;賄賂;定位		8
floor		[動詞] 在...鋪設地板;使大為震驚; [名詞] 地板;樓;室內地上		10
flower		[動詞] 開花;發育,成熟;繁榮; [名詞] 花		34
fly		[動詞] 飛; [名詞] 蒼蠅		23
follow		[動詞] 遵循;跟隨		28
food		[名詞] 食物		64
fool		[動詞] 愚弄; [名詞] 呆子		1
foot		[動詞] 支付(帳單); [名詞] 腳;英尺		9
for		[介系詞] 為…做的;給;計;關於; [連接詞] 因為,由於		403
foreign		[形容詞] 外國的,陌生的,外來的		20
foreigner		[名詞] 外國人		2
forget		[動詞] 忘記		49
fork		[動詞] 分歧,分叉; [名詞] 叉子		3
forty		[形容詞] 四十的; [名詞] 四十		2
four		[形容詞] 四的; [名詞] 四		33
fourteen		[形容詞] 十四的; [名詞] 十四		1
fox		[名詞] 狐狸		2
free		[形容詞] 空閒的;自由的;免費的; [動詞] 使自由;解放;使解脫; [副詞] 免費地;無約束地;鬆開著;脫開著		34
French fries		[名詞] 薯條		
fresh		[形容詞] 新鮮的		17
Friday		[名詞] 星期五		21
fridge		[名詞] 電冰箱		
friend		[名詞] 朋友		85
friendly		[形容詞] 友善的		16
frog		[名詞] 青蛙		3
from		[介系詞] 從		200
front		[形容詞] 前面的;正面的; [動詞] 向前;在前面;面對; [名詞] 前方		18
fruit		[動詞] 結果實; 使結果實; [名詞] 水果		10
fry		[動詞] 油炸; [名詞] 小魚，魚苗		4
full		[形容詞] 飽的;滿的		20
fun		[形容詞] 有趣的,愉快的; [名詞] 樂趣		41
funny		[形容詞] 可笑的;滑稽的		11
future		[形容詞] 未來的,將來的;將來(時)的; [名詞] 未來		21
game		[名詞] 比賽;遊戲		45
garbage		[名詞] 垃圾		13
garden		[動詞] 從事園藝,在園中種植;; [名詞] 花園		21
gas		[動詞] 放出氣體;加油;空談;吹牛; [名詞] 瓦斯;汽油		2
gate		[名詞] 柵門;登機門		3
get		[動詞] 得到;拿到		229
ghost		[名詞] 鬼		2
giant		[形容詞] 巨大的; [名詞] 巨人		2
gift		[名詞] 禮物		14
girl		[名詞] 女孩		38
give		[動詞] 給		96
glad		[形容詞] 高興的		8
glass		[名詞] 玻璃杯;玻璃		4
glasses		[名詞] 眼鏡		2
glove		[名詞] 手套		5
glue		[動詞] 黏住;緊附; [名詞] 膠;膠水		
go		[動詞] 去;走; [名詞] 輪到的機會;嘗試		203
goat		[名詞] 山羊		1
god		[名詞] 上帝		1
good		[形容詞] 好的; [副詞] (非正式) well; [名詞] 利益;好處;優點		132
goodbye		[感歎詞] 再見;再會; [名詞] 道別，告別		6
good-bye		[感歎詞] 再見;再會; [名詞] 告別		2
goose		[名詞] 鵝		1
grade		[動詞] 將...分等級;將...分類; [名詞] 年級;分數		12
gram		[名詞] 公克		
grandfather		[名詞] 祖父;外祖父		6
grandma		[名詞] 祖母;外祖母		5
grandmother		[名詞] 祖母;外祖母		2
grandpa		[名詞] 祖父;外祖父		8
grape		[名詞] 葡萄		5
grass		[名詞] 草		6
gray		[形容詞] 灰色的; [動詞] 使成灰色(或灰白); [名詞] 灰色		5
great		[形容詞] 很棒;大的; [名詞] 偉人們,大人物們		62
green		[形容詞] 綠色的; [動詞] 使成為綠色; [名詞] 綠色		21
ground		[動詞] 使擱淺;使停飛;依靠,根據,基於; [名詞] 地面		7
group		[動詞] 把...分組(或歸類); [名詞] 一群		14
grow		[動詞] 種植;成長		33
guava		[名詞] 番石榴		3
guess		[動詞] 猜; [名詞] 猜測		15
guitar		[名詞] 吉他		
guy		[名詞] 傢伙;人		8
gym		[名詞] 體育館;體育;體操		11
habit		[名詞] 習慣		7
hadn't		[縮短形] had not		
hair		[名詞] 頭髮		15
half		[形容詞] 一半的,二分之一的;不完整的; [副詞] 部分地;相當地;一半地; [名詞] 一半		14
Halloween		[名詞] 萬聖節		2
ham		[名詞] 火腿		1
hamburger		[名詞] 漢堡		6
hand		[動詞] 面交,給,傳遞; [名詞] 手		16
handsome		[形容詞] 英俊的		7
hang		[動詞] 把…掛起;吊		4
happen		[動詞] 發生		32
happy		[形容詞] 快樂的		60
hard		[形容詞] 硬的;難的; [副詞] 辛苦地;猛烈地;牢固地		48
hard-working		[形容詞] 勤勉的		2
hasn't		[縮短形] has not		5
hat		[名詞] 帽子		13
hate		[動詞] 憎恨; [名詞] 仇恨,憎恨;厭惡		27
have		[動詞] 有; [助動詞] 已經		459
haven't		[縮短形] have not		11
he		[代名詞] 他		198
head		[動詞] 率領;出發,駛往; [名詞] 頭;首長		16
headache		[名詞] 頭痛		7
health		[名詞] 健康		15
healthy		[形容詞] 健康的		6
hear		[動詞] 聽見		46
heart		[名詞] 心臟		20
heat		[動詞] 把...加熱;使暖;使激動;刺激; [名詞] 熱氣		9
heavy		[形容詞] 重的		30
he'd		[縮短形] he had; he would		2
height		[名詞] 高度		1
he'll		[縮短形] he will		3
hello		[感歎詞] 哈囉; [名詞] 表示問候的叫聲		6
help		[動詞] 幫忙; [名詞] 幫助;幫手,助手		98
helpful		[形容詞] 有益的		7
hen		[名詞] 母雞		
her		[代名詞] (受格) 她; (所有格) 她的		168
here		[副詞] 在這裡; [名詞] 這裡;今世		91
hers		[代名詞] (所有格) 她的(東西)		2
herself		[代名詞] (反身代名詞) 她自己		12
he's		[縮短形] he is; he has		19
hey		[感歎詞] 嗨;喂		13
hi		[感歎詞] 嗨		13
hide		[動詞] 躲;隱藏		8
high		[形容詞] 高的; [副詞] 高;強烈地;高聲地; [名詞] 高水準;高峰;天空		37
hike		[動詞] 徒步旅行; [名詞] 徒步旅行		3
hill		[名詞] 丘陵		6
him		[代名詞] (受格) 他		100
himself		[代名詞] (反身代名詞) 他自己		13
his		[代名詞] (所有格) 他的; 他的(東西)		159
history		[名詞] 歷史		29
hit		[動詞] 打;擊; [名詞] 打擊;安打;一炮打響		19
hobby		[名詞] 嗜好		7
hold		[動詞] 拿著; [名詞] 抓住,握住;延遲;延期;耽擱		9
holiday		[名詞] 假日		12
home		[形容詞] 家庭的;國內的; [動詞] 回家;為...提供住處; [副詞] 在家;回家;到家; [名詞] 家		80
homework		[名詞] 家庭作業		22
honest		[形容詞] 誠實的		13
honey		[名詞] 蜂蜜;心愛的人		1
hope		[動詞] 希望; [名詞] 希望,期望		44
horse		[名詞] 馬		3
hospital		[名詞] 醫院		22
hot		[形容詞] 熱的		26
hot dog		[名詞] 熱狗		2
hotel		[名詞] 旅館		8
hour		[名詞] 小時		60
house		[動詞] 給...房子住; [名詞] 房子		81
housewife		[名詞] 家庭主婦		
how		[副詞] 如何; [連接詞] (用於間接陳述中,意義和作用與that相仿)		157
however		[副詞] 無論如何,不管怎樣; [連接詞] 然而;不過		26
how's		[縮短形] how is		2
hundred		[形容詞] 一百的; [名詞] 一百		10
hungry		[形容詞] 飢餓的		16
hunt		[動詞] 追獵; [名詞] 打獵;搜尋		3
hurry		[動詞] 趕快; [名詞] 匆忙		11
hurt		[動詞] 傷害;使疼痛; [名詞] (精神上的)創傷;傷;痛		31
husband		[名詞] 丈夫		7
I		[代名詞] 我		371
ice		[名詞] 冰		14
ice cream		[名詞] 冰淇淋		6
I'd		[縮短形] I had; I would		15
idea		[名詞] 主意		58
if		[連接詞] 如果		153
I'll		[縮短形] I shall, I will		39
I'm		[縮短形] I am		101
important		[形容詞] 重要的		54
